epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.736,0.68937,1.29965,1.22777,0.77861,0.59524,0.71757,0.51354,1.30824,2.01618,1.70045,0.0003334,0.0003334,0.0003334
2,222.265,0.53591,0.93323,1.1167,0.95027,0.83914,0.92012,0.72226,0.91907,1.46457,1.4474,0.000627084,0.000627084,0.000627084
3,328.727,0.61597,1.32104,1.32556,0.91511,0.90274,0.94091,0.70005,0.91028,1.73657,1.6278,0.000863006,0.000863006,0.000863006
4,437.088,0.53093,1.17177,1.26355,0.87816,0.88692,0.91358,0.79324,0.71423,1.29251,1.45491,0.00104117,0.00104117,0.00104117
5,660.252,0.47543,1.00039,1.1782,0.91532,0.89528,0.95612,0.7916,0.68962,1.09804,1.4987,0.00111689,0.00111689,0.00111689
6,880.894,0.50883,1.06173,1.19823,0.96557,0.86939,0.99044,0.86939,0.59596,1.09534,1.26459,0.000979362,0.000979362,0.000979362
7,1103.4,0.43086,0.91943,1.12207,0.92296,0.9448,0.9537,0.83371,0.56701,1.00584,1.26131,0.000841835,0.000841835,0.000841835
8,1321.84,0.42626,0.80898,1.14367,0.8926,0.90232,0.99477,0.84929,0.5688,1.03193,1.23968,0.000704307,0.000704307,0.000704307
9,1447.22,0.38071,0.71433,1.06384,0.849,0.86137,0.9518,0.86238,0.50679,0.98789,1.16649,0.00056678,0.00056678,0.00056678
10,1599.53,0.47195,0.70634,1.25799,0.99436,0.93324,0.99477,0.91975,0.45436,0.78012,1.08799,0.000429253,0.000429253,0.000429253
11,1802.35,0.34943,0.61425,1.03838,0.99607,0.97789,0.995,0.92612,0.41876,0.66276,1.08496,0.000291725,0.000291725,0.000291725
12,2010.12,0.30099,0.56456,1.01574,0.99728,1,0.995,0.92393,0.41115,0.61771,1.0571,0.000154198,0.000154198,0.000154198
